Id,SalePrice
1461,121371.3009
1462,157811.7225
1463,185454.2356
1464,197379.9603
1465,196010.0452
1466,172961.2135
1467,184223.0035
1468,162537.0143
1469,195188.2684
1470,120120.588
1471,186396.4651
1472,98497.86198
1473,97294.30208
1474,143247.2957
1475,117813.9717
1476,353038.5201
1477,256112.1065
1478,303329.7259
1479,295787.0447
1480,507735.9934
1481,327345.4067
1482,207737.6185
1483,183738.1169
1484,161527.525
1485,186340.386
1486,192796.4598
1487,334852.3774
1488,232477.9138
1489,201287.7396
1490,255620.2752
1491,196079.4172
1492,90027.77541
1493,189859.5346
1494,292144.2262
1495,287078.0551
1496,244607.08
1497,181335.8704
1498,183572.8137
1499,158192.3606
1500,153931.0014
1501,181330.9161
1502,139369.8904
1503,293275.5786
1504,241609.0455
1505,230210.1026
1506,186473.7771
1507,253955.9027
1508,204853.9245
1509,159942.6153
1510,144341.5157
1511,173596.1512
1512,179702.6726
1513,142027.6824
1514,162799.7229
1515,197824.2044
1516,147981.2015
1517,177935.442
1518,128871.7621
1519,213686.8112
1520,130738.1223
1521,134540.6101
1522,178543.893
1523,116178.9548
1524,125497.261
1525,122852.4695
1526,113791.4849
1527,109707.0054
1528,137150.8198
1529,156360.1601
1530,195454.4724
1531,108400.0487
1532,90114.48079
1533,153840.9009
1534,134771.1587
1535,144876.0782
1536,105529.3098
1537,59855.97388
1538,147748.7582
1539,202170.4967
1540,82740.40801
1541,142939.872
1542,153036.812
1543,177408.8608
1544,85012.73233
1545,118976.8736
1546,137294.8367
1547,134120.5547
1548,141537.2449
1549,124782.5655
1550,134911.705
1551,102310.8857
1552,137878.5168
1553,145283.6866
1554,118361.8003
1555,164262.1603
1556,83401.73673
1557,122066.6578
1558,107996.8185
1559,63682.11711
1560,123336.0224
1561,119135.8854
1562,132693.2443
1563,119968.3353
1564,160786.9593
1565,146258.7799
1566,249946.0941
1567,78230.7914
1568,246884.9975
1569,129789.6914
1570,135685.9696
1571,121361.1842
1572,143568.454
1573,222740.1753
1574,118352.0478
1575,241940.3675
1576,247219.2498
1577,174099.3251
1578,148739.4938
1579,156478.8934
1580,193889.8336
1581,162796.1503
1582,125039.1097
1583,297199.9696
1584,216812.6601
1585,135680.0391
1586,78766.56228
1587,110811.8083
1588,157387.3673
1589,99541.79514
1590,130668.1538
1591,94116.33094
1592,111792.1979
1593,121853.4244
1594,133276.8393
1595,115777.6994
1596,228495.2447
1597,202369.3418
1598,230468.939
1599,176268.9307
1600,163026.2424
1601,65965.94064
1602,116489.2373
1603,56376.93886
1604,258990.6228
1605,227075.1939
1606,160769.9088
1607,194415.0689
1608,208108.7441
1609,183866.1015
1610,155511.1866
1611,136675.4348
1612,175020.8493
1613,167844.5629
1614,123564.5275
1615,86613.5449
1616,76595.83308
1617,88216.93217
1618,139525.4454
1619,137762.5703
1620,143883.4666
1621,137157.2168
1622,143582.9749
1623,259195.8156
1624,202120.9341
1625,121074.8518
1626,170721.4375
1627,196345.7949
1628,277861.3961
1629,176735.8138
1630,374416.39
1631,235665.067
1632,254041.5921
1633,169510.874
1634,182624.9832
1635,170705.9287
1636,154558.9241
1637,206249.9789
1638,183049.9073
1639,185613.7943
1640,242141.1076
1641,180873.6212
1642,253891.0796
1643,228467.6159
1644,237960.2214
1645,229570.8853
1646,161801.2838
1647,158287.4341
1648,129281.3803
1649,142561.0463
1650,113449.3657
1651,120353.8844
1652,99230.00068
1653,102950.6337
1654,139464.1315
1655,136935.2292
1656,140354.4612
1657,144051.6089
1658,141079.9772
1659,121300.5813
1660,155661.6978
1661,459146.4486
1662,409991.7552
1663,376666.4942
1664,707162.877
1665,304509.9144
1666,322748.5805
1667,383138.1882
1668,331507.3836
1669,309372.0038
1670,352384.4105
1671,274369.7492
1672,451340.7029
1673,287291.7057
1674,241222.7177
1675,204103.1931
1676,202501.8416
1677,222985.9641
1678,487734.7536
1679,413029.2807
1680,329948.719
1681,250416.8741
1682,324688.9581
1683,187308.5301
1684,172855.8487
1685,174007.2707
1686,168443.958
1687,173295.3377
1688,188417.2933
1689,192035.9796
1690,191039.4868
1691,178962.8115
1692,258828.9894
1693,167368.9985
1694,183375.9907
1695,169904.2831
1696,281803.2854
1697,176074.6836
1698,346479.7042
1699,312001.4156
1700,257878.2866
1701,269303.1822
1702,247665.8321
1703,245773.7743
1704,275324.4056
1705,230662.6151
1706,206066.8657
1707,220951.9826
1708,205761.7376
1709,261311.1539
1710,217382.3857
1711,272030.0844
1712,260225.3724
1713,287403.2878
1714,233817.5306
1715,212902.77
1716,185856.7284
1717,172864.4925
1718,143343.5293
1719,212995.929
1720,241750.3607
1721,152505.2939
1722,123608.8878
1723,149464.277
1724,204270.2166
1725,237710.8148
1726,184071.0997
1727,153833.9013
1728,161876.5119
1729,166950.5007
1730,159788.9969
1731,124175.8748
1732,127156.5585
1733,112503.6973
1734,124402.0048
1735,116066.1198
1736,111410.5175
1737,313124.6149
1738,254396.739
1739,230544.6351
1740,216684.8175
1741,193863.3274
1742,174586.0314
1743,175390.2765
1744,351640.0354
1745,217307.0931
1746,188828.6538
1747,218248.6496
1748,223407.02
1749,144461.6206
1750,129630.6075
1751,244773.9436
1752,114628.9292
1753,149909.2511
1754,190847.3382
1755,169265.9078
1756,125331.9111
1757,120879.2254
1758,145515.493
1759,160675.683
1760,161577.207
1761,146063.7765
1762,177425.9434
1763,181463.2024
1764,112874.0747
1765,149415.4913
1766,200382.1133
1767,236422.0647
1768,138365.235
1769,170477.2737
1770,149154.9612
1771,128409.5211
1772,131377.2747
1773,123764.656
1774,141595.3685
1775,140976.3304
1776,130701.9457
1777,106759.4112
1778,137810.4932
1779,131152.5996
1780,167913.7689
1781,124394.4711
1782,90110.9051
1783,141243.1117
1784,111854.8413
1785,128845.087
1786,136862.7594
1787,160754.9508
1788,63026.38868
1789,97602.031
1790,80801.61796
1791,184687.1698
1792,164463.6245
1793,132261.5281
1794,149456.8053
1795,134465.9576
1796,130704.4325
1797,111881.4728
1798,125871.2097
1799,108992.8067
1800,130457.141
1801,126064.8085
1802,130161.0701
1803,150495.4652
1804,137297.0772
1805,134113.8448
1806,121283.2604
1807,129619.5225
1808,123839.5583
1809,129409.33
1810,134118.9797
1811,91364.17923
1812,103044.6954
1813,131224.246
1814,101337.7839
1815,58839.46145
1816,103262.8571
1817,109285.3546
1818,147527.4177
1819,132738.553
1820,48233.60414
1821,107565.4305
1822,153541.9106
1823,39336.87396
1824,123936.7109
1825,144420.9321
1826,111899.3687
1827,102458.4331
1828,131407.9162
1829,118493.7545
1830,138132.7994
1831,144555.6867
1832,58634.16649
1833,146814.9445
1834,122195.7647
1835,114998.5791
1836,125452.0973
1837,89204.84195
1838,128545.9648
1839,106163.6149
1840,140274.2613
1841,131952.3741
1842,98345.70306
1843,128082.8857
1844,140945.7954
1845,143918.718
1846,151682.2419
1847,168933.4097
1848,57934.20018
1849,104521.3901
1850,115922.8946
1851,147986.2304
1852,126842.8062
1853,119249.5201
1854,160416.0751
1855,152507.8253
